targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,42,42,3,,,h,0,1.034343618,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,quackL.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,LinCong,h,20,landoltCTop.png,,,,,0,43,43,30,,,h,0,1.08414648272,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,44,44,8,,,b,0,1.05058510101,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,0,45,45,54,,,h,0,1.88477337142,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,46,46,56,,,b,0,1.20115422003,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,47,47,58,,,b,0,1.45135949292,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,48,48,62,,,b,0,0.800623589661,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,0,49,49,66,,,b,0,0.850672415283,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,0,50,50,50,,,h,0,1.63463481223,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,ribbitL.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,Lcong,b,-20,landoltCL.png,,,,,0,51,51,16,,,b,0,1.23467674654,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,52,52,10,,,b,0,1.91856165297,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,53,53,69,,,h,0,1.45112562846,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,54,54,48,,,h,0,1.98488348565,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,0,55,55,59,,,b,0,1.36791203765,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,,,,,0,56,56,57,,,b,0,1.01763953789,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,57,57,71,,,h,0,1.04646754709,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,ribbitL.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,Lcong,h,-20,landoltCR.png,,,,,0,58,58,24,,,h,0,1.66794436812,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,59,59,55,,,h,0,1.11748866235,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,60,60,67,,,h,0,1.51783051497,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,0,61,61,52,,,h,0,0.867328109627,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,ribbitR.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,,,,,0,62,62,20,,,b,0,1.35116580329,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,63,63,45,,,b,0,1.53481061378,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,64,64,61,,,b,0,1.00100180494,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,65,65,79,,,b,0,1.06760552125,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,66,66,60,,,b,0,0.900943742032,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,,,,,0,67,67,9,,,b,0,0.850783849135,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,68,68,12,,,b,0,0.850847263791,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,0,69,69,6,,,h,0,1.01766849605,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,70,70,49,,,h,0,1.68461179234,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,71,71,42,,,b,0,1.41797809151,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,72,72,47,,,b,0,1.68461765727,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,73,73,74,,,b,0,0.917530523337,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,74,74,53,,,h,0,1.58455262976,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,wnL.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LinCongWN,b,20,landoltCBottom.png,,,,,0,75,75,23,,,b,0,1.81845923649,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,wnL.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LinCongWN,h,20,landoltCTop.png,,,,,0,76,76,31,,,h,0,1.06792222797,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,77,77,13,,,b,0,1.61807698905,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,78,78,44,,,b,0,0.934460403601,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,wnR.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LcongWN,h,20,landoltCTop.png,,,,,0,79,79,29,,,h,0,1.16784356447,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,1,0,80,46,,,b,0,0.984581807847,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,1,1,81,4,,,h,0,0.934366564572,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,1,2,82,45,,,b,0,1.30145421169,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,1,3,83,8,,,b,0,0.91750669702,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,1,4,84,47,,,b,0,0.917414324227,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,1,5,85,56,,,b,0,0.967425394309,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,1,6,86,59,,,b,0,0.817677000203,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,1,7,87,1,,,h,0,1.1011152182,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
